Date,BHARTIARTL-EQ O,BHARTIARTL-EQ H,BHARTIARTL-EQ L,BHARTIARTL-EQ C,BHARTIARTL-EQ V
19/06/2017,364,368.75,363.25,367.5,1701672
16/06/2017,366,367.5,360.6,364.85,4472274
15/06/2017,365.5,370.5,364.45,365.3,2544387
14/06/2017,363.5,368.55,361.55,365.5,2107709
13/06/2017,364,368.5,362.1,363.2,1133452
12/06/2017,366.9,371.8,363.55,365.2,2219230
09/06/2017,367.75,371.1,366.25,367.8,2888545
08/06/2017,372.95,374.3,366.7,367.7,3477533
07/06/2017,373.45,375.25,371,372.8,3882379
06/06/2017,370,372.5,367,369,3304788
05/06/2017,373.2,377.8,371.35,372.4,2332623
02/06/2017,370.8,381.35,369.8,373.25,5180320
01/06/2017,370,373.4,365.85,366.9,2223961
31/05/2017,374,376.9,368.05,371.55,15400633
30/05/2017,374.8,376.8,369.35,370.7,1958269
29/05/2017,374.7,378.9,367.9,373.1,1996158
26/05/2017,369,380.45,368.5,373.6,2858455
25/05/2017,367,376.35,360.75,370.7,14179868
24/05/2017,368,373,365.65,368.35,6943292
23/05/2017,372.05,376.25,371,371.9,5814307
22/05/2017,374,378.6,371.4,372.55,2737412
19/05/2017,373,379.5,368.15,372.75,5431034
18/05/2017,373.7,381.6,368.6,370.75,3319974
17/05/2017,371.2,380.9,371.2,375.95,5265901
16/05/2017,365.9,377.65,365.45,374.35,5858910
15/05/2017,366,369.95,361.4,364.15,3724158
12/05/2017,362.25,370.3,361.5,365.1,3668575
11/05/2017,370,370.85,362.45,366,7263857
10/05/2017,336.5,380.4,336.5,372.75,24411321
09/05/2017,350,351,343.6,345.25,2817923
08/05/2017,344.75,355.25,344.3,351.3,2664070
05/05/2017,346.45,349,343.15,344.75,1539822
04/05/2017,346.7,351.4,343.7,346,1213003
03/05/2017,348.1,350,343.85,346.35,2358454
02/05/2017,355.5,355.95,346.7,347.6,2195524
28/04/2017,355.3,357.9,350.5,355.5,2690876
27/04/2017,354.25,361.95,353.75,357.9,4486798
26/04/2017,353.95,360,352,357.55,2949212
25/04/2017,343,359.8,341.4,353.95,4278330
24/04/2017,344,346.45,338.65,344.65,1340716
21/04/2017,342,346,340.3,342.8,1352040
20/04/2017,342,343.8,338.05,342.75,1890096
19/04/2017,339.4,341.75,332.75,339.95,2504964
18/04/2017,340,343.35,336.3,338.8,5561549
17/04/2017,342.8,343.3,338.4,341.3,1882937
13/04/2017,350,353.5,339.25,340.25,5907728
12/04/2017,347,353.9,345.35,350.8,2279495
11/04/2017,343,355.75,342.85,350.2,2097727
10/04/2017,348.3,348.4,342.05,345.7,1381119
07/04/2017,344.05,350.45,341.75,344.7,5720486
06/04/2017,343,343,337.6,341.8,2174170
05/04/2017,342.95,347.25,339.1,344.5,4230271
03/04/2017,346,346,336.25,341.8,6609750
31/03/2017,350,352.3,345,350.05,5215911
30/03/2017,344.85,352.4,342.2,351.2,3916104
29/03/2017,342.5,346.4,341.2,344.85,8855391
28/03/2017,340.9,343.5,338.6,340.75,2087407
27/03/2017,340,341.85,335.15,338.7,2895389
24/03/2017,341.4,347.7,338.2,340.5,4784560
23/03/2017,338.8,341.7,335.55,338.5,4291861
22/03/2017,347,348.5,325.8,338.2,8071204
21/03/2017,349,351.8,345.05,349.9,2263133
20/03/2017,346,352.3,339.25,349.4,4270022
17/03/2017,361.15,363,344,346.85,5748783
16/03/2017,364,365.6,359.1,360.65,2407103
15/03/2017,360,366.15,356.2,363.2,6660091
14/03/2017,366,369.8,358.6,361.1,5336687
10/03/2017,360.85,366.5,359.95,364.9,2090743
09/03/2017,359.85,361.9,356.65,360.2,1175441
08/03/2017,360.2,364.1,358.5,360.7,2725867
07/03/2017,361,362.45,356.35,361.1,2858176
06/03/2017,360,364,357.2,361.5,2976688
03/03/2017,356.85,361.5,353.3,356.15,3624580
02/03/2017,364,366,352.2,356.85,4197805
01/03/2017,368.55,368.85,361.45,362.75,3448583
28/02/2017,357,373.1,356.4,365.15,12156357
27/02/2017,367,367.45,352.55,355.7,9082281
23/02/2017,371,401,363.7,366.25,35600168
22/02/2017,362.9,372.5,359.1,361,6787592
21/02/2017,372.1,377.9,359.5,362.85,6334134
20/02/2017,370.15,379,370.15,375.35,3493398
17/02/2017,367,372.2,362.3,369.5,2299853
16/02/2017,361.3,368.9,360.3,365.7,3650069
15/02/2017,369.9,372.5,360.1,365.3,3582028
14/02/2017,357.5,369.9,355,368.95,4271242
13/02/2017,353.45,360,353.35,358.05,3306745
10/02/2017,357,360.4,355.05,357.55,1986275
09/02/2017,352.05,357,350.8,355.25,1842114
08/02/2017,355,355.85,346.9,352.2,4405681
07/02/2017,354.2,358.8,350.8,353.15,3660915
06/02/2017,354,356.95,352.65,355.25,1355896
